country,country_code,year,gdp_per_capita,life_expectancy,internet_usage,unemployment
Albania,ALB,1990,617.230435515505,72.71,0.0,9.5
Argentina,ARG,1990,4315.33403111588,71.615,0.0,7.058
Australia,AUS,1990,18273.561526468,76.9946341463415,0.585,6.926
Austria,AUT,1990,21596.068219998,75.5682926829269,0.13,3.233
Burundi,BDI,1990,202.629446176297,45.184,0.0,0.476
Belgium,BEL,1990,20600.3752789827,76.0519512195122,0.00101,7.25
Bulgaria,BGR,1990,2366.52982128614,71.6414634146342,0.0,1.7
"Bahamas, The",BHS,1990,11473.3008389353,70.945,0.0,7.774
Bolivia,BOL,1990,682.67681029538,56.797,0.0,7.3
Brazil,BRA,1990,2619.80141064047,65.862,0.0,4.703
Barbados,BRB,1990,7781.40573306125,73.463,0.0,15.036
Canada,CAN,1990,21525.8611387148,77.4365853658537,0.361,8.131
Switzerland,CHE,1990,39574.5398083788,77.2424390243902,0.596,2.067
Chile,CHL,1990,2487.76829657299,73.675,0.0,7.759
China,CHN,1990,318.50335359039,68.155,0.0,2.165
Colombia,COL,1990,1474.8455285342,68.701,0.0,10.152
Cabo Verde,CPV,1990,817.442925539738,63.869,0.0,23.004
Cyprus,CYP,1990,9641.5751953125,76.044,0.0,7.014
Czechia,CZE,1990,3969.36733543794,71.3839024390244,0.0,0.7
Germany,DEU,1990,22385.6778250275,75.0856341463415,0.126,4.89
Denmark,DNK,1990,26885.6994188191,74.8053658536585,0.0973,8.338
Algeria,DZA,1990,2445.18332740258,67.658,0.0,19.8
Ecuador,ECU,1990,1455.00748510871,68.445,0.0,5.881
"Egypt, Arab Rep.",EGY,1990,735.982935028025,62.513,0.0,8.434
Spain,ESP,1990,13795.0159385128,76.8375609756098,0.0129,16.273
France,FRA,1990,21586.4674617483,76.6,0.0528,9.36
United Kingdom,GBR,1990,19095.4669984608,75.8804878048781,0.0874,6.969
Greece,GRC,1990,9466.66238502174,76.9390243902439,0.0,7.012
Guatemala,GTM,1990,847.688561830359,61.767,0.0,3.616
"Hong Kong SAR, China",HKG,1990,13485.6314525052,77.3707317073171,0.0,1.317
Honduras,HND,1990,749.818113552631,65.183,0.0,4.776
Haiti,HTI,1990,451.720249689216,53.215,0.0,11.253
Indonesia,IDN,1990,578.420121135382,63.249,0.0,2.541
Ireland,IRL,1990,14031.3025675469,74.8460731707317,0.0,14.077
Israel,ISR,1990,13308.311060238,76.6073170731707,0.111,9.565
Italy,ITA,1990,20873.7834092719,76.9707317073171,0.0175,9.781
Jamaica,JAM,1990,1929.59891905857,71.705,0.0,15.716
Japan,JPN,1990,25801.3950393094,78.8370731707317,0.0203,2.1
"Korea, Rep.",KOR,1990,6812.9019416767,71.5975609756098,0.0233,2.449
Liechtenstein,LIE,1990,49457.5609343203,78.3315365853659,0.0,0.146
Sri Lanka,LKA,1990,491.213686238493,69.239,0.0,15.9
Luxembourg,LUX,1990,33465.478207919,74.7754878048781,0.0,1.607
"Macao SAR, China",MAC,1990,9692.43538809962,76.3986829268293,0.0,3.162
Morocco,MAR,1990,1229.07104492188,62.396,0.0,15.802
North Macedonia,MKD,1990,2277.30372314314,71.1720975609756,0.0,23.6
Malta,MLT,1990,7192.38994693962,76.0459268292683,0.0,3.9
Myanmar,MMR,1990,53.1225401094506,57.159,0.0,6.0
Malaysia,MYS,1990,2468.69080320116,70.952,0.0,4.503
Nicaragua,NIC,1990,242.508390600822,62.473,0.0,10.001
Netherlands,NLD,1990,21322.1944802703,76.8780487804878,0.334,7.671
Norway,NOR,1990,28242.981402822,76.5373170731707,0.707,5.229
New Zealand,NZL,1990,13663.0216184298,75.3780487804878,0.0,7.971
Pakistan,PAK,1990,344.45547384189,59.728,0.0,1.971
Panama,PAN,1990,2620.13827266274,71.266,0.0,11.595
Peru,PER,1990,1199.66666756615,63.979,0.0,8.6
Philippines,PHL,1990,803.572588255813,64.382,0.0,8.127
Palau,PLW,1990,6402.929615309,62.79,0.0,7.76
Papua New Guinea,PNG,1990,826.317152082832,59.778,0.0,7.7
Puerto Rico (US),PRI,1990,8652.50749222505,72.827,0.0,15.282
Portugal,PRT,1990,7884.61798756332,73.9658536585366,0.0,4.645
Paraguay,PRY,1990,1440.15829610029,67.341,0.0,5.795
Singapore,SGP,1990,11861.7561591366,75.2951219512195,0.0,1.955
El Salvador,SLV,1990,892.18271519703,61.981,0.0,9.961
Suriname,SUR,1990,941.591736102188,62.088,0.0,15.655
Sweden,SWE,1990,30549.3185706762,77.5368292682927,0.584,1.742
Thailand,THA,1990,1559.11209344755,68.924,0.0,2.209
Tonga,TON,1990,1139.0553819198,67.539,0.0,4.161
Trinidad and Tobago,TTO,1990,4047.25093594674,67.591,0.0,20.017
Turkiye,TUR,1990,2689.52621921233,67.835,0.0,8.015
Uruguay,URY,1990,2995.36105663465,72.994,0.0,8.511
United States,USA,1990,23888.6000088133,75.2146341463415,0.785,5.6
"Venezuela, RB",VEN,1990,2451.5523114567,70.964,0.0,13.963
Zambia,ZMB,1990,422.336298804219,48.204,0.0,14.999
Australia,AUS,1991,18885.4274465057,77.2756097560976,1.1,9.579
Austria,AUT,1991,22323.1312492943,75.6170731707317,0.259,3.476
Belgium,BEL,1991,21041.6606519648,76.1921951219512,0.0201,6.984
Botswana,BWA,1991,2938.59442659608,58.911,0.0,13.818
Canada,CAN,1991,21846.7930471354,77.5934146341464,0.57,10.316
Switzerland,CHE,1991,39544.4946826768,77.5146341463415,1.18,1.818
Germany,DEU,1991,23443.3350818536,75.319512195122,0.25,5.316
Denmark,DNK,1991,27002.8057705804,75.1578048780488,0.194,9.099
Spain,ESP,1991,14801.3226152172,76.9712195121951,0.0257,15.929
France,FRA,1991,21500.7778366233,76.8487804878049,0.14,9.134
United Kingdom,GBR,1991,19900.7266505069,76.0829268292683,0.174,8.55
Greece,GRC,1991,10046.6663875475,77.1365853658537,0.0488,7.572
Grenada,GRD,1991,2983.91643158641,70.823,0.0,13.911
"Hong Kong SAR, China",HKG,1991,15465.9245305858,77.8729268292683,0.121,1.8
Ireland,IRL,1991,14087.2074393708,75.025,0.0568,15.771
Israel,ISR,1991,14346.0810278646,76.7585365853659,0.215,10.575
Italy,ITA,1991,22007.1350964074,77.0195121951219,0.0351,10.097
Japan,JPN,1991,29428.4289039469,79.0368292682927,0.0404,2.1
"Korea, Rep.",KOR,1991,7872.65052449111,72.0463414634146,0.0461,2.291
Netherlands,NLD,1991,21764.2144987258,77.0,0.531,7.285
Norway,NOR,1991,28596.9330036444,76.9807317073171,1.41,5.467
Portugal,PRT,1991,8958.9853330247,74.0146341463415,0.1,3.919
Singapore,SGP,1991,14502.3799938606,75.6463414634146,0.162,2.18
Sweden,SWE,1991,31776.6680192213,77.6668292682927,1.16,3.127
Syrian Arab Republic,SYR,1991,1000.07798684947,70.075,0.0,6.75
Thailand,THA,1991,1765.62267359529,69.132,5.22e-05,2.63
United States,USA,1991,24342.2589048189,75.3658536585366,1.16,6.8
Argentina,ARG,1992,6789.99611136495,72.096,0.00299,6.36
Australia,AUS,1992,18650.3675476612,77.3780487804878,1.77,10.729
Austria,AUT,1992,24782.7118767063,75.8170731707317,0.643,3.592
Belgium,BEL,1992,23372.619171015,76.3512195121951,0.1,6.702
Brazil,BRA,1992,2127.29083011489,66.539,0.0129,7.086
Canada,CAN,1992,20950.3305287651,77.8380487804878,0.916,11.197
Switzerland,CHE,1992,40713.6881521435,77.8060975609756,1.75,2.344
Chile,CHL,1992,3351.84108855522,74.367,0.0365,6.667
Cyprus,CYP,1992,11310.072265625,76.291,0.0501,2.087
Germany,DEU,1992,26559.8543879632,75.819512195122,0.435,6.323
Denmark,DNK,1992,29579.4913648682,75.1941463414634,0.387,9.027
Ecuador,ECU,1992,1655.44613192632,69.468,0.00512,8.56
Spain,ESP,1992,16100.6799428032,77.41,0.0768,17.697
France,FRA,1992,23615.0168565483,77.1,0.279,10.203
United Kingdom,GBR,1992,20487.1707852878,76.4341463414634,0.261,9.772
Greece,GRC,1992,11021.012224607,77.3829268292683,0.0483,8.927
"Hong Kong SAR, China",HKG,1992,17976.4688629053,77.6734146341464,0.85,1.96
Hungary,HUN,1992,3747.32966394956,69.1170731707317,0.0484,9.816
Ireland,IRL,1992,15714.3847487231,75.4150975609756,0.17,15.021
